num;titel;title_no_number;summary;duration;published
602;MBMBaM 600: Awesome Sanguine Meridian Response;Awesome Sanguine Meridian Response;<p>Hey so there’s some soundbites in here that you definitely shouldn’t be using out of context. It’s a really bad idea. We promise. No one wants to hear them, trust us. </p><p>Suggested talking points: CFO Jerimoo, Gab-battical, Mr. Shivers, Ruin Those Bodies, Extra-Crispy Sin</p><p>The National Asian Pacific American Women’s Forum: https://www.napawf.org/about <br />Harmony House: https://harmonyhousewv.com/</p>;4064;2022-03-07 17:00:00+00:00
601;MBMBaM 599: The Hand that Drinks You;The Hand that Drinks You;"<p>Y’all, we’re comin’ in hot with a brand-new seriously original movie pitch. Get this. It takes place in a galaxy far, far away. And the hero has a last name that is something in the sky and a mode of transportation. And there’s a twist about his dad. Wait, this has been done already? More than once? Hm. We better check in with Guestpert <a href=""https://www.scribd.com/audiobook/553486879?utm_source=mbmbam&amp;utm_medium=press&amp;utm_campaign=chris_gethard_originals_january&amp;utm_content=audiobook_page"" target=""_blank"">Chris Gethard</a> instead.</p><p>Suggested talking points: Kerp Live in Walls, Prescription Sheets, Geosh Sunrunner, Lazy Day Drawers, Musical Doxxing</p><p>National Black Women’s Justice Institute: https://www.nbwji.org/ <br />Huntington Children's Museum: https://hcmkids.org/</p>";4044;2022-02-28 17:00:00+00:00
600;MBMBaM 598: Chocolate that Helps You Fudge;Chocolate that Helps You Fudge;<p>Have we got a bodacious show for you, full of verisimilitude and similar ephemera. Don’t mind our loquaciousness, we’re trying to be more quixotic.</p><p>Suggested talking points: I’m Rutherford B. Hayes, In the Boston-verse, Your Bruno Nest, Electronic Tricks, Razzle Beret</p><p>National Black Women’s Justice Institute: https://www.nbwji.org/ Huntington Children's Museum: https://hcmkids.org/</p>;3982;2022-02-21 17:00:00+00:00
599;MBMBaM 597: Foy’s Boys;Foy’s Boys;<p>We’re making an effort to make this show normal again, which means more sportball talk? Is that right? In any case, we’ve also brought on guestpert Ify Nwadiwe and his unique expertise to scrutinize Taco Bell morning beverage offerings and sunglasses-laundering operations at Disney.</p><p>Suggested talking points: Thick Johnson, Toss the Pork Flesh, How Big a Boy can you Fly, Burrito Fund Rollover Bucks, The House Always Wins When You Go To Taco Bell</p><p>National Black Women’s Justice Institute: https://www.nbwji.org/ </p><p>Huntington Children's Museum: https://hcmkids.org/</p>;3609;2022-02-14 17:00:00+00:00
598;MBMBaM 596: Smartles;Smartles;<p>We’re sure you all heard about the iHeartMedia Presents the iHeart Radio Podcast Awards, but we’re totally fine. Absolutely fine. Congratulations. Enjoy this completely regular episode.</p><p>Suggested talking points: EIGOT, Seeso’s Tapeworm, Bazinga Boys, Beef Mode, Over-Inflated Sense of Goku</p><p>National Black Women’s Justice Institute: https://www.nbwji.org/ <br />Huntington Children's Museum: https://hcmkids.org/</p>;3776;2022-02-07 17:00:00+00:00
597;MBMBaM 595: Gasoline of the Body;Gasoline of the Body;<p>There’s an awful amount of blood in this episode. Like an astounding amount. Picture it. No, that’s . . . too much blood. Why are you thinking about that much blood?</p><p>Suggested talking points: Dying in the Applebees, BlartWatch, Who Doesn’t Like Bailamos, Beuiff, Chunky Donut, Bed Bath and the Great Beyond</p><p>National Black Women’s Justice Institute: https://www.nbwji.org/</p><p>Huntington Childrens Museum: https://hcmkids.org/</p>;3886;2022-01-31 17:00:00+00:00
596;MBMBaM 594: The Trumpet;The Trumpet;<p>Ha ha ha! It’s the great Mambo revival over here and we’ve run out of names of people, so here is just 63:51 of trumpet. Enjoy!</p><p>Suggested talking points: Proto-Vuvuzela, My Good Barley Man, Burger Burger Mushroom, MOOstache, The Chimney Man</p><p>Center for Reproductive Rights: https://reproductiverights.org/</p>;3831;2022-01-24 17:00:00+00:00
595;MBMBaM 593: Foolish and Vacuous Perfume Oil;Foolish and Vacuous Perfume Oil;"<p>We’re very excited about our new sponsor, Buzzer Boys, because there are just so many hornets. So many. We don’t know where they came from, but there sure are a lot of them.</p><p>Suggested talking points: BradCo, IKEA Burial, Boss Cat Business Bag, Deliciously Kissable Bellybutton Love Potion Fragrance, That’s Why I Bring Cats in on Company Time</p><p>Center for Reproductive Rights: <a href=""https://reproductiverights.org/"">https://reproductiverights.org/</a></p>";4184;2022-01-17 17:00:00+00:00
594;MBMBaM 592: The Naming of 2022;The Naming of 2022;<p>It’s the best time to tune in for the first time as we set goals, or maybe just settle on some mood lighting, for the year 2022. However long it takes. Ten minutes. Forty minutes. The whole episode. It’s only three years into the twenties and we honestly already can’t wait for the thirties.</p><p>Suggested talking points: Carl Daniels, Sarcopha-Get It , A Night to Remember, Turn up the Fondue, Not That Kangaroo Jack</p><p>Center for Reproductive Rights: https://reproductiverights.org/</p>;4406;2022-01-10 17:00:00+00:00
593;MBMBaM 591: Bro's Better, Bro's Best: Ch. 217 - 230;Bro's Better, Bro's Best: Ch. 217 - 230;<p>It was some sort of holiday at the end of the year, so we’re kicking off 2022 with things we were concerned about several years ago. It’s the perfect look back if you’re really craving the infinite wisdom of Yahoo! Answers and want to learn some fun facts about horses.</p><p>Suggested talking points: The Giving and Taking Tree, HVAC Plan, The Sha-Na-Nabyss, Scott Illuminati, Taco Neck Syndrome, You are the Krampus</p><p>Center for Reproductive Rights: https://reproductiverights.org/</p>;4073;2022-01-03 17:30:00+00:00
